Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Радіоприймач-ліхтарик, SF 178 B, б/в, сіро-білого кольору ","Очікування сплати","Інша техніка","Житомирська обл.","Учасник №2",123725,60.00,60.00
"Електричне радіо Panasonik, сріблястого кольору, б/в.","Складання акту","Мала побутова техніка","Житомирська обл.","Учасник №9",124407,70.00,98.00
"Патефон та особисті нагороди. ","Очікування сплати","Аукціон із різнотипних товарів","Закарпатська обл.","Учасник №10",154812,655.00,1650.00
"Жіночий годинник наручний з металу жовтого кольору з прозорим камінням DKNY Ceramic, у кількості 1 шт.","Очікування сплати",Аксесуари,м.Київ,"Учасник №15",209995,2994.76,3144.50
"Автомобіль марки LEXUS LX 570, типу легковий універсал-В, 2008 року випуску, державний номер ВА 1111 АС, номер шасі JTJHY00W284009302","Торги не відбулися","Легкові автомобілі","Кіровоградська обл.",,229265,151170.00,0.00
"Транспортний засіб DAEWOO FSO Lanos TF69Y, 2007 року випуску, державний реєстраційний номер ВА3839АІ, номер кузова SUPTF69YD7W365715","Торги відбулися","Легкові автомобілі","Кіровоградська обл.","Учасник №60",230057,33650.00,50100.00
"Автомобіль марки MERCEDES-BENZ модель 813D, 1998 р.в., номер кузова: WDB9700151K350414, реєстраційний номер АЕ3466АР","Торги зупинено","Вантажні автомобілі","Дніпропетровська обл.","Учасник №12",236453,115875.00,153000.00
"Прес гідравлічний штампувальний ПА-238","Торги припинено",Обладнання,"Донецька обл.",,264415,68357.00,0.00
"Електромостовий кран № 187, 20 т","Торги припинено",Обладнання,"Донецька обл.",,265219,75000.00,0.00
"Електромостовий кран № 418, 50/10 т","Торги припинено",Обладнання,"Донецька обл.",,265253,162500.00,0.00
"Монета номіналом ""5 рублів"", 1803 року випуску, 1 шт.","Торги відбулися",Інше,"Сумська обл.","Учасник №64",266766,47.50,318.82
"Автомобіль фургон малотоннажний-В ЗАЗ 110558-42, ДНЗ СВ2654ВВ, 2009 р.в., білого кольору, номер кузова Y6D11055890047717","Торги зупинено","Легкові автомобілі","Чернігівська обл.",,271379,43326.81,0.00
"Автомобіль фургон малотоннажний-В ГАЗ Т95-3302, ДНЗ СВ9645ВА, 2008 р.в., білого кольору, номер кузова X9633020082334112","Торги зупинено","Вантажні автомобілі","Чернігівська обл.",,271386,109004.81,0.00
"Автомобіль фургон малотоннажний-В ЗАЗ 110558-42, ДНЗ СВ2652ВВ, 2009 р.в., білого кольору, номер кузова Y6D11055890048123","Торги зупинено","Легкові автомобілі","Чернігівська обл.",,271392,40845.35,0.00
"Автомобіль легковий седан-В Geely MR-7151A, ДНЗ СВ5553АМ, 2008 р.в., чорного кольору, номер кузова L6T7524S48N045420","Торги не відбулися","Легкові автомобілі","Чернігівська обл.",,271410,62187.57,0.00
"ІПОТЕКА: Двокімнатна квартира № 120, загальною площею 51.8 кв.м., що знаходиться за адресою: Київська обл., м. Біла Церква, вул. Водопійна, 20","Торги припинено","Житлова нерухомість","Київська обл.",,282862,362497.23,
"Автомобіль KIA SPORTAGE, 2016 р.в., днз АА9728РА, № кузова U5YPG815AGL107540","Торги не відбулися","Легкові автомобілі",м.Київ,,283640,393777.00,
